,comp,comp_id,date,guest_points,guest_result,guest_team,guest_team_short,home_points,home_result,home_team,home_team_short,host,league,site,time,weapon,winner
16,1,LG2.BuLi Nord3A,10.12.2017,0,0,SV Olympia 72 Börm/Dörpstedt,SV Olympia 72 Börm/Dörpstedt,0,0,Freischütz Rautheim,Freischütz Rautheim,Freischütz Rautheim,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,10.00 Uhr,Luftgewehr,guest
17,2,LG2.BuLi Nord3B,10.12.2017,0,0,SB Freiheit II,SB Freiheit II,0,0,SV Stoppelmarkt,SV Stoppelmarkt,Freischütz Rautheim,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,11:35 Uhr,Luftgewehr,guest
18,3,LG2.BuLi Nord3C,10.12.2017,0,0,SB Freiheit II,SB Freiheit II,0,0,Freischütz Rautheim,Freischütz Rautheim,Freischütz Rautheim,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,13.40 Uhr,Luftgewehr,guest
19,4,LG2.BuLi Nord3D,10.12.2017,0,0,SV Olympia 72 Börm/Dörpstedt,SV Olympia 72 Börm/Dörpstedt,0,0,SV Stoppelmarkt,SV Stoppelmarkt,Freischütz Rautheim,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,15.15 Uhr,Luftgewehr,guest
20,5,LG2.BuLi Nord3E,10.12.2017,0,0,SGi Steinkirchen,SGi Steinkirchen,0,0,KKS Nordstemmen II,KKS Nordstemmen II,KKS Nordstemmen,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,10.00 Uhr,Luftgewehr,guest
21,6,LG2.BuLi Nord3F,10.12.2017,0,0,SV Etzhorn,SV Etzhorn,0,0,SV Ladekop,SV Ladekop,KKS Nordstemmen,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,11.35 Uhr,Luftgewehr,guest
22,7,LG2.BuLi Nord3G,10.12.2017,0,0,SV Etzhorn,SV Etzhorn,0,0,SGi Steinkirchen,SGi Steinkirchen,KKS Nordstemmen,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,13.40 Uhr,Luftgewehr,guest
23,8,LG2.BuLi Nord3H,10.12.2017,0,0,SV Ladekop,SV Ladekop,0,0,KKS Nordstemmen II,KKS Nordstemmen II,KKS Nordstemmen,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=3,15.15 Uhr,Luftgewehr,guest
24,1,LG2.BuLi Nord4A,14.01.2018,0,0,SV Ladekop,SV Ladekop,0,0,SV Stoppelmarkt,SV Stoppelmarkt,SV Stoppelmarkt,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=4,10.00 Uhr,Luftgewehr,guest
25,2,LG2.BuLi Nord4B,14.01.2018,0,0,Freischütz Rautheim,Freischütz Rautheim,0,0,SGi Steinkirchen,SGi Steinkirchen,SV Stoppelmarkt,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=4,11.35 Uhr,Luftgewehr,guest
26,3,LG2.BuLi Nord4C,14.01.2018,0,0,SV Etzhorn,SV Etzhorn,0,0,SB Freiheit II,SB Freiheit II,SV Stoppelmarkt,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=4,13.00 Uhr,Luftgewehr,guest
27,4,LG2.BuLi Nord4D,14.01.2018,0,0,KKS Nordstemmen II,KKS Nordstemmen II,0,0,SV Olympia 72 Börm/Dörpstedt,SV Olympia 72 Börm/Dörpstedt,SV Stoppelmarkt,2.BuLi Nord,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=1&wettkampf=4,14.30 Uhr,Luftgewehr,guest
