,first_name,home,id,last_name,point,position,result,shoot_off,team_full
52,Rita,True,LP2.BuLi Nord1A,Müller,0,2,354, ,"('SV Stoppelmarkt',)"
53,Jens,False,LP2.BuLi Nord1A,Frieling,1,2,371, ,"('SV Haendorf',)"
54,Alexandra,True,LP2.BuLi Nord1A,Rolfes,0,3,361, ,"('SV Stoppelmarkt',)"
55,Stefan,False,LP2.BuLi Nord1A,Pabstmann,1,3,365, ,"('SV Haendorf',)"
56,Reinhard,True,LP2.BuLi Nord1A,Tönjes,0,4,345, ,"('SV Stoppelmarkt',)"
57,Timon,False,LP2.BuLi Nord1A,Cordes,1,4,373, ,"('SV Haendorf',)"
58,Tobias,True,LP2.BuLi Nord1A,Schierholt,1,5,378, ,"('SV Stoppelmarkt',)"
59,Marc,False,LP2.BuLi Nord1A,Bonne,0,5,373, ,"('SV Haendorf',)"
60,Meik,True,LP2.BuLi Nord1A,Kutzeck,0,1,340, ,"('SP Brackstedt',)"
61,Christoph,False,LP2.BuLi Nord1A,Varnhorn,1,1,371, ,"('SV Haendorf',)"
62,Isabel,True,LP2.BuLi Nord1A,Kausch,1,2,366, ,"('SP Brackstedt',)"
63,Jens,False,LP2.BuLi Nord1A,Frieling,0,2,363, ,"('SV Haendorf',)"
64,Patrick,True,LP2.BuLi Nord1A,Samse,0,3,352, ,"('SP Brackstedt',)"
65,Stefan,False,LP2.BuLi Nord1A,Pabstmann,1,3,364, ,"('SV Haendorf',)"
66,Katja,True,LP2.BuLi Nord1A,Broich,0,4,358, ,"('SP Brackstedt',)"
67,Timon,False,LP2.BuLi Nord1A,Cordes,1,4,363, ,"('SV Haendorf',)"
68,Katja,True,LP2.BuLi Nord1A,Kutzeck,0,5,355, ,"('SP Brackstedt',)"
69,Marc,False,LP2.BuLi Nord1A,Bonne,1,5,365, ,"('SV Haendorf',)"
70,Frans,True,LP2.BuLi Nord1A,Soerensen,1,1,379, ,"('GTV Bremerhaven-Seestadtteufel',)"
71,Mandy,False,LP2.BuLi Nord1A,Horn,0,1,377, ,"('SV Stoppelmarkt',)"
72,Antje,True,LP2.BuLi Nord1A,Noeske,1,2,375, ,"('GTV Bremerhaven-Seestadtteufel',)"
73,Rita,False,LP2.BuLi Nord1A,Müller,0,2,359, ,"('SV Stoppelmarkt',)"
74,Theo,True,LP2.BuLi Nord1A,Hadrath,1,3,379, ,"('GTV Bremerhaven-Seestadtteufel',)"
75,Alexandra,False,LP2.BuLi Nord1A,Rolfes,0,3,364, ,"('SV Stoppelmarkt',)"
76,Jan Luca,True,LP2.BuLi Nord1A,Karstedt,1,4,375, ,"('GTV Bremerhaven-Seestadtteufel',)"
77,Thomas,False,LP2.BuLi Nord1A,Seeger,0,4,355, ,"('SV Stoppelmarkt',)"
78,Matthias,True,LP2.BuLi Nord1A,Dapprich-Crawford,0,5,369, ,"('GTV Bremerhaven-Seestadtteufel',)"
79,Tobias,False,LP2.BuLi Nord1A,Schierholt,1,5,374, ,"('SV Stoppelmarkt',)"
80,Ian Talmark,True,LP2.BuLi Nord1B,Kannerup,0,1,370, ,"('PC Rendsburg',)"
81,Frederik,False,LP2.BuLi Nord1B,Larsen,1,1,383, ,"('SV Groß und Kleinkaliber',)"
82,Uwe,True,LP2.BuLi Nord1B,Hofmann,0,2,361, ,"('PC Rendsburg',)"
83,Miroslaw,False,LP2.BuLi Nord1B,Roj,1,2,372, ,"('SV Groß und Kleinkaliber',)"
84,Helge,True,LP2.BuLi Nord1B,Hagen,1,3,373, ,"('PC Rendsburg',)"
85,Tobias,False,LP2.BuLi Nord1B,Siemssen,0,3,371, ,"('SV Groß und Kleinkaliber',)"
86,Uwe,True,LP2.BuLi Nord1B,Knapp,0,4,357, ,"('PC Rendsburg',)"
87,Falk,False,LP2.BuLi Nord1B,Priebe,1,4,366, ,"('SV Groß und Kleinkaliber',)"
88,Joris,True,LP2.BuLi Nord1B,Feindt,0,5,364, ,"('PC Rendsburg',)"
89,Dieter,False,LP2.BuLi Nord1B,Miller,1,5,367, ,"('SV Groß und Kleinkaliber',)"
90,Thilo,True,LP2.BuLi Nord1B,Wehr,0,1,360, ,"('SV Kutenholz',)"
91,Waldemar,False,LP2.BuLi Nord1B,Markow,1,1,368, ,"('Wandsbeker SGi',)"
92,Sönke,True,LP2.BuLi Nord1B,Borchers,1,2,365, ,"('SV Kutenholz',)"
93,Jochen,False,LP2.BuLi Nord1B,Siemers,0,2,355, ,"('Wandsbeker SGi',)"
94,Sven,True,LP2.BuLi Nord1B,Delventhal,1,3,370, ,"('SV Kutenholz',)"
95,Rainer,False,LP2.BuLi Nord1B,Opitz,0,3,358, ,"('Wandsbeker SGi',)"
96,Jana,True,LP2.BuLi Nord1B,Peper,1,4,367, ,"('SV Kutenholz',)"
97,Valerij,False,LP2.BuLi Nord1B,Krichevskyi,0,4,362, ,"('Wandsbeker SGi',)"
98,Steffen,True,LP2.BuLi Nord1B,Hauschild,0,5,362, ,"('SV Kutenholz',)"
99,Björn-Axel,False,LP2.BuLi Nord1B,Dr. Dose,1,5,367, ,"('Wandsbeker SGi',)"
100,Frederik,True,LP2.BuLi Nord1B,Larsen,1,1,375, ,"('SV Groß und Kleinkaliber',)"
